"id","Title"
"6639c50f078f0b3454c91bfc","IEEE Automatic Speech Recognition and Understanding Workshop"
"6639c513078f0b3454c91c00","IEEE Computer Security Foundations Symposium (was CSFW)"
"6639c51d078f0b3454c91c08","IEEE Conference on Computer Vision and Pattern Recognition"
"6639c539078f0b3454c91c24","IEEE International Conference on Automatic Face and Gesture Recognition"
"6639c540078f0b3454c91c2a","IEEE International Conference on Blockchain and Cryptocurrency"
"6639c542078f0b3454c91c2c","IEEE International Conference on Cloud Computing"
"6639c69c4c771c093141cb90","IEEE International Conference on Program Comprehension (previously IWPC, changed in 2006)"
"6639c6b14c771c093141cba4","IEEE International Enterprise Distributed Object Computing Conference"
"6639c49e078f0b3454c91b98","European Conference on Evolutionary Computation in Combinatorial Optimisation"
"6639c4a8078f0b3454c91ba0","European Conference on Modelling Foundations and Applications"
"6639c4be078f0b3454c91bb6","European Symposium on Algorithms"
"6639c4c0078f0b3454c91bb8","European Symposium on Artificial Neural Networks"
"6639c4d6078f0b3454c91bcc","Financial Cryptography and Data Security Conference"
"6639c4dc078f0b3454c91bd0","Florida Artificial Intelligence Research Society Conference"
"6639c4e0078f0b3454c91bd4","Forum on Specification and Design Languages"
"6639c4fe078f0b3454c91bec","HCist - International Conference on Health and Social Care Information Systems and Technologies"
"6639c518078f0b3454c91c04","IEEE Conference on Cognitive and Computational Aspects of Situation Management"
"6639c51f078f0b3454c91c0a","IEEE Conference on Local Computer Networks"
"6639c525078f0b3454c91c10","IEEE Conference on Virtual Reality and 3D User Interfaces"
"6639c554078f0b3454c91c3c","IEEE International Conference on Cybernetics and Intelligent Systems"
"6639c556078f0b3454c91c3e","IEEE International Conference on Data Mining"
"6639c67e4c771c093141cb74","IEEE International Conference on Fog and Edge Computing"
"6639c6aa4c771c093141cb9e","IEEE International Conference on Visual Communications and Image Processing (was SPIE ... pre 2011)"
"6639c6b84c771c093141cbac","IEEE International Parallel and Distributed Processing Symposium (was IPPS and SPDP)"
"6639c4cc078f0b3454c91bc4","Exploring Modelling Methods in Systems Analysis and Design"
"6639c4e3078f0b3454c91bd6","Foundations of Genetic Algorithms"
"6639c500078f0b3454c91bee","Health Informatics Conference"
"6639c503078f0b3454c91bf0","Heterogeneity in Computing Workshop"
"6639c51b078f0b3454c91c06","IEEE Conference on Computational Complexity"
"6639c521078f0b3454c91c0c","IEEE Conference on Mass Storage Systems and Technologies"
"6639c529078f0b3454c91c14","IEEE Congress on Services"
"6639c52d078f0b3454c91c18","IEEE European Symposium on Security and Privacy"
"6639c53b078f0b3454c91c26","IEEE International Conference on Autonomic Computing"
"6639c54b078f0b3454c91c34","IEEE International Conference on Cognitive Informatics"
"6639c54d078f0b3454c91c36","IEEE International Conference on Computer and Information Technology"
"6639c6934c771c093141cb88","IEEE International Conference on Intelligent Systems"
"6639c6954c771c093141cb8a","IEEE International Conference on Mobile Ad-hoc and Sensor Systems"
"6639c69a4c771c093141cb8e","IEEE International Conference on Pervasive Computing and Communications"
"6639c69e4c771c093141cb92","IEEE International Conference on Robotics and Automation"
"6639c4ac078f0b3454c91ba4","European Conference on Object-Oriented Programming"
"6639c48d078f0b3454c91b88","European Chapter on Combinatorial Optimization"
